2008,1,6,2002,2147,WN,3839,105,57,52,SAN,SFO,15,106,50	
2008,1,6,2156,2323,WN,3061,87,43,51,LAS,SFO,15,106,50	
2008,1,6,1745,1933,WN,458,108,33,25,SAN,SFO,15,106,50	
2008,1,6,1948,2235,WN,1009,287,30,33,MDW,SFO,15,106,50	
2008,1,6,1213,1414,WN,3575,121,24,-2,LAS,SFO,15,106,50	
2008,1,6,958,1254,WN,3846,296,14,8,MDW,SFO,15,106,50	
2008,1,6,1030,1206,WN,1597,96,11,15,SAN,SFO,15,106,50	
2008,1,6,1244,1417,WN,585,93,7,14,SAN,SFO,15,106,50	
2008,1,6,2000,2121,WN,593,81,6,5,LAX,SFO,15,106,50	
2008,1,6,1624,1742,WN,618,78,2,4,LAX,SFO,15,106,50	
2008,1,6,1050,1211,WN,680,81,1,0,LAX,SFO,15,106,50	
2008,1,6,1244,1405,WN,776,81,0,-1,LAX,SFO,15,106,50	
2008,1,6,1310,1552,WN,1837,282,-3,5,MDW,SFO,15,106,50	
2008,1,6,907,1036,WN,619,89,-9,-3,LAS,SFO,15,106,50	
2008,1,6,600,726,WN,2886,86,-14,-5,LAS,SFO,15,106,50	
2008,1,6,637,805,WN,3077,88,-15,-3,SAN,SFO,15,106,50	
2008,1,6,836,959,WN,1855,83,-16,1,SAN,SFO,15,106,50	
2008,1,6,900,1009,WN,469,69,-16,-5,LAX,SFO,15,106,50	
2008,1,7,2325,156,WN,1009,271,231,250,MDW,SFO,0,111,67	
2008,1,7,1022,1157,WN,619,95,72,72,LAS,SFO,0,111,67	
2008,1,7,1545,1710,WN,123,85,50,65,SAN,SFO,0,111,67	
2008,1,7,1526,1634,WN,656,68,44,56,LAX,SFO,0,111,67	
2008,1,7,920,1056,WN,1855,96,41,45,SAN,SFO,0,111,67	
2008,1,7,1309,1437,WN,585,88,27,39,SAN,SFO,0,111,67	
2008,1,7,1128,1237,WN,680,69,27,38,LAX,SFO,0,111,67	
2008,1,7,1928,2105,WN,2788,97,25,23,LAS,SFO,0,111,67	
2008,1,7,1406,1534,WN,488,88,4,11,LAS,SFO,0,111,67	
2008,1,7,1213,1354,WN,3575,101,4,-2,LAS,SFO,0,111,67	
2008,1,7,2131,2253,WN,381,82,3,21,SAN,SFO,0,111,67	
2008,1,7,604,739,WN,2886,95,-1,-1,LAS,SFO,0,111,67	
2008,1,7,1659,1834,WN,2005,95,-1,-1,LAS,SFO,0,111,67	
2008,1,7,1620,1733,WN,618,73,-7,0,LAX,SFO,0,111,67	
